AnnotationID,Section,Session_ID,Window_Index,Window_Position,Start_Time,End_Time,n_events,n_users,User_Distribution,Top_User_Share,Dominant_Event,R_event,Dominant_Component,R_component,Event_Distribution,Component_Distribution,Prior_Window_Summary,Next_Window_Summary,Alignment,Dispersion,Stability,Action,Notes
132,Sec-05,94,66,Window 8 of 10 in this session,4/14/2026 10:57,4/14/2026 10:58,28,4,"S1=10, S2=10, S3=6, S4=2",0.36,Course module viewed,0.393,Assignment,0.786,"Course module viewed: 11, The status of the submission has been viewed.: 6, A submission has been submitted.: 3, Submission created.: 3, A file has been uploaded.: 3","Assignment: 22, File submissions: 6","W58 [10:49]: 12 events, n_users=3, dominant=Course module viewed","W69 [11:00]: 24 events, n_users=3, dominant=Course module viewed",,,,,
133,Sec-05,117,6,Window 4 of 12 in this session,4/19/2026 10:08,4/19/2026 10:09,7,4,"S1=3, S2=2, S3=1, S4=1",0.43,Course module viewed,0.571,File,0.429,"Course module viewed: 4, Course viewed: 2, The status of the submission has been viewed.: 1","File: 3, System: 2, Assignment: 2","W5 [10:07]: 13 events, n_users=6, dominant=Course module viewed","W20 [10:22]: 11 events, n_users=4, dominant=Course module viewed",,,,,
134,Sec-05,94,95,Window 10 of 10 in this session,4/14/2026 11:26,4/14/2026 11:27,8,4,"S1=3, S2=2, S3=2, S4=1",0.38,The status of the submission has been viewed.,0.375,Assignment,0.75,"The status of the submission has been viewed.: 3, Course module viewed: 3, Course viewed: 2","Assignment: 6, System: 2","W69 [11:00]: 24 events, n_users=3, dominant=Course module viewed",(none — last retained window of session),,,,,
135,Sec-05,94,58,Window 7 of 10 in this session,4/14/2026 10:49,4/14/2026 10:50,12,3,"S1=6, S2=4, S3=2",0.5,Course module viewed,0.417,Assignment,0.833,"Course module viewed: 5, The status of the submission has been viewed.: 3, A submission has been submitted.: 1, Submission created.: 1, A file has been uploaded.: 1","Assignment: 10, File submissions: 2","W20 [10:11]: 5 events, n_users=3, dominant=Course module viewed","W66 [10:57]: 28 events, n_users=4, dominant=Course module viewed",,,,,
136,Sec-05,117,101,Window 10 of 12 in this session,4/19/2026 11:43,4/19/2026 11:44,11,3,"S1=65, S2=1, S3=1",0.97,Course module viewed,0.836,Assignment,0.851,"Grade item updated: 56, Course module viewed: 7, The status of the submission has been viewed.: 2, Submission form viewed.: 1, Course viewed: 1","System: 57, Assignment: 6, File: 4","W100 [11:42]: 9 events, n_users=3, dominant=Course module viewed","W102 [11:44]: 17 events, n_users=4, dominant=Course module viewed",,,,,
137,Sec-06,92,123,Window 15 of 18 in this session,4/14/2026 11:15,4/14/2026 11:16,33,6,"S1=10, S2=6, S3=6, S4=5, S5=4, S6=2",0.3,Course module viewed,0.424,Assignment,0.818,"Course module viewed: 14, The status of the submission has been viewed.: 6, Submission form viewed.: 4, A submission has been submitted.: 3, Submission created.: 3","Assignment: 27, File submissions: 6","W122 [11:14]: 27 events, n_users=6, dominant=Course module viewed","W124 [11:16]: 31 events, n_users=6, dominant=Course module viewed",,,,,
138,Sec-06,115,49,Window 8 of 10 in this session,4/19/2026 10:14,4/19/2026 10:15,8,4,"S1=4, S2=2, S3=1, S4=1",0.5,Course module viewed,1,File,1,Course module viewed: 8,File: 8,"W48 [10:13]: 18 events, n_users=10, dominant=Course module viewed","W51 [10:16]: 5 events, n_users=3, dominant=Course module viewed",,,,,
139,Sec-06,115,48,Window 7 of 10 in this session,4/19/2026 10:13,4/19/2026 10:14,18,10,"S1=5, S2=2, S3=2, S4=2, S5=2, S6=1, S7=1, S8=1, S9=1, S10=1",0.28,Course module viewed,0.778,File,0.778,"Course module viewed: 14, Course viewed: 4","File: 14, System: 4","W47 [10:12]: 42 events, n_users=17, dominant=Course module viewed","W49 [10:14]: 8 events, n_users=4, dominant=Course module viewed",,,,,
140,Sec-06,92,51,Window 3 of 18 in this session,4/14/2026 10:03,4/14/2026 10:04,14,6,"S1=4, S2=4, S3=2, S4=2, S5=1, S6=1",0.29,Course module viewed,0.714,File,0.571,"Course module viewed: 10, Course viewed: 2, The status of the submission has been viewed.: 1, Submission form viewed.: 1","File: 8, Assignment: 4, System: 2","W49 [10:01]: 3 events, n_users=3, dominant=Course module viewed","W52 [10:04]: 20 events, n_users=9, dominant=Course module viewed",,,,,
141,Sec-06,128,24,Window 2 of 12 in this session,4/21/2026 10:05,4/21/2026 10:06,8,6,"S1=3, S2=1, S3=1, S4=1, S5=1, S6=1",0.38,Course module viewed,0.75,File,0.75,"Course module viewed: 6, Course viewed: 2","File: 6, System: 2","W23 [10:04]: 9 events, n_users=4, dominant=Course module viewed","W25 [10:06]: 5 events, n_users=3, dominant=Course module viewed",,,,,
142,Sec-07,91,207,Window 18 of 23 in this session,4/14/2026 14:57,4/14/2026 14:58,39,7,"S1=10, S2=6, S3=6, S4=6, S5=6, S6=4, S7=1",0.26,Course module viewed,0.41,Assignment,0.718,"Course module viewed: 16, The status of the submission has been viewed.: 8, A submission has been submitted.: 4, Submission created.: 4, A file has been uploaded.: 4","Assignment: 28, File submissions: 8, File: 2, System: 1","W206 [14:56]: 14 events, n_users=3, dominant=Course module viewed","W208 [14:58]: 6 events, n_users=3, dominant=Course module viewed",,,,,
143,Sec-07,91,227,Window 22 of 23 in this session,4/14/2026 15:17,4/14/2026 15:18,21,4,"S1=6, S2=6, S3=6, S4=3",0.29,Course module viewed,0.333,Assignment,0.667,"Course module viewed: 7, The status of the submission has been viewed.: 4, A submission has been submitted.: 3, Submission created.: 3, A file has been uploaded.: 3","Assignment: 14, File submissions: 6, System: 1","W226 [15:16]: 21 events, n_users=5, dominant=Course module viewed","W228 [15:18]: 21 events, n_users=3, dominant=Course module viewed",,,,,
144,Sec-07,91,161,Window 13 of 23 in this session,4/14/2026 14:11,4/14/2026 14:12,5,5,"S1=1, S2=1, S3=1, S4=1, S5=1",0.2,Course module viewed,0.8,File,0.8,"Course module viewed: 4, Course viewed: 1","File: 4, System: 1","W160 [14:10]: 4 events, n_users=3, dominant=Course module viewed","W162 [14:12]: 4 events, n_users=3, dominant=Course module viewed",,,,,
145,Sec-07,114,71,Window 8 of 8 in this session,4/19/2026 14:34,4/19/2026 14:35,6,3,"S1=3, S2=2, S3=1",0.5,Course module viewed,0.833,File,0.833,"Course module viewed: 5, Course viewed: 1","File: 5, System: 1","W69 [14:32]: 5 events, n_users=5, dominant=Course module viewed",(none — last retained window of session),,,,,
146,Sec-07,91,216,Window 20 of 23 in this session,4/14/2026 15:06,4/14/2026 15:07,20,3,"S1=8, S2=8, S3=4",0.4,Course module viewed,0.4,Assignment,0.8,"Course module viewed: 8, The status of the submission has been viewed.: 3, Submission form viewed.: 3, A submission has been submitted.: 2, Submission updated.: 2","Assignment: 16, File submissions: 4","W208 [14:58]: 6 events, n_users=3, dominant=Course module viewed","W226 [15:16]: 21 events, n_users=5, dominant=Course module viewed",,,,,
147,Sec-08,92,88,Window 18 of 20 in this session,4/14/2026 15:07,4/14/2026 15:08,26,4,"S1=14, S2=4, S3=4, S4=4",0.54,Course module viewed,0.423,Assignment,0.846,"Course module viewed: 11, The status of the submission has been viewed.: 5, Submission form viewed.: 4, A submission has been submitted.: 2, A file has been uploaded.: 2","Assignment: 22, File submissions: 4","W83 [15:02]: 44 events, n_users=6, dominant=Course module viewed","W90 [15:09]: 23 events, n_users=3, dominant=Course module viewed",,,,,
148,Sec-08,92,21,Window 1 of 20 in this session,4/14/2026 14:00,4/14/2026 14:01,7,5,"S1=3, S2=1, S3=1, S4=1, S5=1",0.43,Course viewed,0.429,System,0.429,"Course viewed: 3, Course module viewed: 3, The status of the submission has been viewed.: 1","System: 3, File: 2, Assignment: 2",(none — first retained window of session),"W22 [14:01]: 25 events, n_users=9, dominant=Course module viewed",,,,,
149,Sec-08,92,26,Window 6 of 20 in this session,4/14/2026 14:05,4/14/2026 14:06,11,6,"S1=4, S2=2, S3=2, S4=1, S5=1, S6=1",0.36,Course module viewed,0.818,File,0.818,"Course module viewed: 9, Course viewed: 2","File: 9, System: 2","W25 [14:04]: 8 events, n_users=6, dominant=Course module viewed","W27 [14:06]: 8 events, n_users=3, dominant=Course module viewed",,,,,
150,Sec-08,139,43,Window 10 of 15 in this session,4/21/2026 14:33,4/21/2026 14:34,5,4,"S1=2, S2=1, S3=1, S4=1",0.4,Course module viewed,1,File,1,Course module viewed: 5,File: 5,"W28 [14:18]: 7 events, n_users=5, dominant=Course module viewed","W58 [14:48]: 11 events, n_users=5, dominant=Course module viewed",,,,,
151,Sec-09,105,55,Window 9 of 16 in this session,4/16/2026 10:47,4/16/2026 10:48,50,16,"S1=15, S2=12, S3=4, S4=3, S5=2, S6=2, S7=2, S8=2, S9=1, S10=1, S11=1, S12=1, S13=1, S14=1, S15=1, S16=1",0.3,Course module viewed,0.9,File,0.86,"Course module viewed: 45, Course viewed: 3, The status of the submission has been viewed.: 2","File: 43, Assignment: 4, System: 3","W54 [10:46]: 49 events, n_users=24, dominant=Course module viewed","W56 [10:48]: 17 events, n_users=7, dominant=Course module viewed",,,,,
152,Sec-09,131,85,Window 18 of 19 in this session,4/19/2026 13:17,4/19/2026 13:18,33,4,"S1=11, S2=10, S3=6, S4=6",0.33,Course module viewed,0.364,Assignment,0.727,"Course module viewed: 12, The status of the submission has been viewed.: 6, A submission has been submitted.: 4, Submission created.: 4, A file has been uploaded.: 4","Assignment: 24, File submissions: 8, System: 1","W83 [13:15]: 20 events, n_users=4, dominant=Course module viewed","W86 [13:18]: 23 events, n_users=3, dominant=Course module viewed",,,,,
153,Sec-09,131,12,Window 2 of 19 in this session,4/19/2026 12:04,4/19/2026 12:05,9,4,"S1=6, S2=1, S3=1, S4=1",0.67,Course viewed,0.333,Assignment,0.667,"Course viewed: 3, Course module viewed: 3, The status of the submission has been viewed.: 2, Submission form viewed.: 1","Assignment: 6, System: 3","W9 [12:01]: 6 events, n_users=3, dominant=Course viewed","W13 [12:05]: 9 events, n_users=3, dominant=Course module viewed",,,,,
154,Sec-09,131,83,Window 17 of 19 in this session,4/19/2026 13:15,4/19/2026 13:16,20,4,"S1=6, S2=6, S3=6, S4=2",0.3,Course module viewed,0.35,Assignment,0.7,"Course module viewed: 7, The status of the submission has been viewed.: 4, A submission has been submitted.: 3, Submission created.: 3, A file has been uploaded.: 3","Assignment: 14, File submissions: 6","W82 [13:14]: 13 events, n_users=3, dominant=Course module viewed","W85 [13:17]: 33 events, n_users=4, dominant=Course module viewed",,,,,
155,Sec-09,131,75,Window 13 of 19 in this session,4/19/2026 13:07,4/19/2026 13:08,20,3,"S1=10, S2=8, S3=2",0.5,Course module viewed,0.45,Assignment,0.7,"Course module viewed: 9, The status of the submission has been viewed.: 3, Submission form viewed.: 2, A submission has been submitted.: 2, A file has been uploaded.: 2","Assignment: 14, File submissions: 4, File: 2","W74 [13:06]: 49 events, n_users=5, dominant=Course module viewed","W76 [13:08]: 12 events, n_users=3, dominant=Course module viewed",,,,,
156,Sec-09,150,7,Window 2 of 11 in this session,4/23/2026 10:04,4/23/2026 10:05,11,3,"S1=9, S2=1, S3=1",0.82,Course module viewed,0.364,Assignment,0.818,"Course module viewed: 4, Course viewed: 2, Remove submission confirmation viewed.: 1, The status of the submission has been viewed.: 1, The status of the submission has been updated.: 1","Assignment: 9, System: 2","W4 [10:01]: 4 events, n_users=3, dominant=Course viewed","W11 [10:08]: 14 events, n_users=7, dominant=Course viewed",,,,,
157,Sec-10,11,60,Window 7 of 19 in this session,2/22/2026 12:06,2/22/2026 12:07,25,10,"S1=9, S2=6, S3=2, S4=2, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1",0.36,Course module viewed,0.6,File,0.4,"Course module viewed: 15, Course viewed: 5, The status of the submission has been viewed.: 3, Submission form viewed.: 2","File: 10, Assignment: 10, System: 5","W59 [12:05]: 12 events, n_users=5, dominant=Course module viewed","W61 [12:07]: 14 events, n_users=3, dominant=Course module viewed",,,,,
158,Sec-10,11,83,Window 19 of 19 in this session,2/22/2026 12:29,2/22/2026 12:30,18,3,"S1=6, S2=6, S3=6",0.33,Course module viewed,0.333,Assignment,0.667,"Course module viewed: 6, Submission created.: 3, A file has been uploaded.: 3, The status of the submission has been viewed.: 3, A submission has been submitted.: 3","Assignment: 12, File submissions: 6","W82 [12:28]: 12 events, n_users=3, dominant=Course module viewed",(none — last retained window of session),,,,,
159,Sec-10,139,96,Window 23 of 26 in this session,4/19/2026 13:23,4/19/2026 13:24,34,7,"S1=15, S2=7, S3=5, S4=4, S5=1, S6=1, S7=1",0.44,Course module viewed,0.441,Assignment,0.706,"Course module viewed: 15, The status of the submission has been viewed.: 6, Course viewed: 4, A submission has been submitted.: 2, Submission form viewed.: 2","Assignment: 24, File: 4, System: 4, File submissions: 2","W95 [13:22]: 28 events, n_users=5, dominant=Course module viewed","W97 [13:24]: 8 events, n_users=3, dominant=Course module viewed",,,,,
160,Sec-10,114,84,Window 15 of 17 in this session,4/16/2026 11:09,4/16/2026 11:10,22,3,"S1=10, S2=6, S3=6",0.45,Course module viewed,0.364,Assignment,0.727,"Course module viewed: 8, The status of the submission has been viewed.: 4, A submission has been submitted.: 3, Submission created.: 3, A file has been uploaded.: 3","Assignment: 16, File submissions: 6","W83 [11:08]: 15 events, n_users=3, dominant=Course module viewed","W85 [11:10]: 14 events, n_users=4, dominant=Course module viewed",,,,,
161,Sec-10,114,82,Window 13 of 17 in this session,4/16/2026 11:07,4/16/2026 11:08,10,3,"S1=6, S2=2, S3=2",0.6,Course module viewed,0.3,Assignment,0.6,"Course module viewed: 3, The status of the submission has been viewed.: 1, A submission has been submitted.: 1, Submission created.: 1, A file has been uploaded.: 1","Assignment: 6, File submissions: 2, System: 2","W78 [11:03]: 22 events, n_users=3, dominant=Course module viewed","W83 [11:08]: 15 events, n_users=3, dominant=Course module viewed",,,,,
162,Sec-10,139,9,Window 2 of 26 in this session,4/19/2026 11:56,4/19/2026 11:57,8,4,"S1=3, S2=3, S3=1, S4=1",0.38,Course module viewed,0.5,Assignment,0.5,"Course module viewed: 4, The status of the submission has been viewed.: 2, Course viewed: 2","Assignment: 4, File: 2, System: 2","W8 [11:55]: 8 events, n_users=6, dominant=Course viewed","W10 [11:57]: 8 events, n_users=6, dominant=Course viewed",,,,,
163,Sec-10,114,19,Window 4 of 17 in this session,4/16/2026 10:04,4/16/2026 10:05,16,4,"S1=7, S2=4, S3=3, S4=2",0.44,Course module viewed,0.562,Assignment,0.5,"Course module viewed: 9, Course viewed: 3, The status of the submission has been viewed.: 3, Submission form viewed.: 1","Assignment: 8, File: 5, System: 3","W17 [10:02]: 14 events, n_users=6, dominant=Course module viewed","W21 [10:06]: 6 events, n_users=4, dominant=Course module viewed",,,,,
164,Sec-10,114,15,Window 1 of 17 in this session,4/16/2026 10:00,4/16/2026 10:01,12,3,"S1=8, S2=3, S3=1",0.67,Course module viewed,0.417,Assignment,0.5,"Course module viewed: 5, Course viewed: 4, The status of the submission has been viewed.: 3","Assignment: 6, System: 4, File: 2",(none — first retained window of session),"W16 [10:01]: 4 events, n_users=3, dominant=Course viewed",,,,,
165,Sec-11,217,33,Window 2 of 15 in this session,4/19/2026 11:43,4/19/2026 11:44,6,5,"S1=2, S2=1, S3=1, S4=1, S5=1",0.33,Course module viewed,0.667,File,0.667,"Course module viewed: 4, Course viewed: 2","File: 4, System: 2","W29 [11:39]: 8 events, n_users=4, dominant=Course module viewed","W48 [11:58]: 8 events, n_users=6, dominant=Course viewed",,,,,
166,Sec-11,193,47,Window 2 of 18 in this session,4/16/2026 10:01,4/16/2026 10:02,8,4,"S1=4, S2=2, S3=1, S4=1",0.5,Course module viewed,0.625,File,0.5,"Course module viewed: 5, Course viewed: 2, The status of the submission has been viewed.: 1","File: 4, System: 2, Assignment: 2","W46 [10:00]: 4 events, n_users=4, dominant=Course viewed","W50 [10:04]: 3 events, n_users=3, dominant=Course viewed",,,,,
167,Sec-11,193,120,Window 14 of 18 in this session,4/16/2026 11:14,4/16/2026 11:15,13,3,"S1=6, S2=6, S3=1",0.46,Course module viewed,0.308,Assignment,0.615,"Course module viewed: 4, The status of the submission has been viewed.: 2, A submission has been submitted.: 2, Submission created.: 2, A file has been uploaded.: 2","Assignment: 8, File submissions: 4, System: 1","W119 [11:13]: 21 events, n_users=5, dominant=Course module viewed","W127 [11:21]: 16 events, n_users=4, dominant=Course module viewed",,,,,
168,Sec-12,80,105,Window 22 of 23 in this session,4/15/2026 9:15,4/15/2026 9:16,23,4,"S1=14, S2=4, S3=4, S4=1",0.61,Course module viewed,0.435,Assignment,0.87,"Course module viewed: 10, The status of the submission has been viewed.: 5, Submission form viewed.: 4, Course viewed: 1, A submission has been submitted.: 1","Assignment: 20, File submissions: 2, System: 1","W104 [09:14]: 21 events, n_users=5, dominant=Course module viewed","W106 [09:16]: 18 events, n_users=3, dominant=Course module viewed",,,,,
169,Sec-12,67,19,Window 6 of 12 in this session,4/13/2026 8:16,4/13/2026 8:17,5,3,"S1=3, S2=1, S3=1",0.6,Course viewed,0.4,System,0.4,"Course viewed: 2, Course module viewed: 2, The status of the submission has been viewed.: 1","System: 2, Assignment: 2, File: 1","W18 [08:15]: 8 events, n_users=4, dominant=Course module viewed","W20 [08:17]: 3 events, n_users=3, dominant=Course viewed",,,,,
170,Sec-12,67,47,Window 8 of 12 in this session,4/13/2026 8:44,4/13/2026 8:45,10,6,"S1=3, S2=2, S3=2, S4=1, S5=1, S6=1",0.3,Course module viewed,0.9,File,0.9,"Course module viewed: 9, Course viewed: 1","File: 9, System: 1","W20 [08:17]: 3 events, n_users=3, dominant=Course viewed","W48 [08:45]: 12 events, n_users=7, dominant=Course module viewed",,,,,
171,Sec-12,80,106,Window 23 of 23 in this session,4/15/2026 9:16,4/15/2026 9:17,18,3,"S1=6, S2=6, S3=6",0.33,Course module viewed,0.333,Assignment,0.667,"Course module viewed: 6, A submission has been submitted.: 3, Submission created.: 3, A file has been uploaded.: 3, The status of the submission has been viewed.: 3","Assignment: 12, File submissions: 6","W105 [09:15]: 23 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
172,Sec-12,80,85,Window 15 of 23 in this session,4/15/2026 8:55,4/15/2026 8:56,20,3,"S1=10, S2=8, S3=2",0.5,Course module viewed,0.5,Assignment,0.7,"Course module viewed: 10, The status of the submission has been viewed.: 5, Submission form viewed.: 1, Course viewed: 1, A submission has been submitted.: 1","Assignment: 14, File: 3, File submissions: 2, System: 1","W81 [08:51]: 8 events, n_users=3, dominant=Course module viewed","W99 [09:09]: 16 events, n_users=4, dominant=Course module viewed",,,,,
173,Sec-12,130,36,Window 7 of 13 in this session,4/22/2026 8:21,4/22/2026 8:22,7,6,"S1=2, S2=1, S3=1, S4=1, S5=1, S6=1",0.29,Course module viewed,0.857,File,0.714,"Course module viewed: 6, The status of the submission has been viewed.: 1","File: 5, Assignment: 2","W34 [08:19]: 4 events, n_users=3, dominant=Course module viewed","W37 [08:22]: 13 events, n_users=5, dominant=Course module viewed",,,,,
174,Sec-12,130,37,Window 8 of 13 in this session,4/22/2026 8:22,4/22/2026 8:23,13,5,"S1=4, S2=3, S3=3, S4=2, S5=1",0.31,Course module viewed,0.846,File,0.692,"Course module viewed: 11, The status of the submission has been viewed.: 1, Course viewed: 1","File: 9, Assignment: 2, System: 1, Page: 1","W36 [08:21]: 7 events, n_users=6, dominant=Course module viewed","W38 [08:23]: 15 events, n_users=8, dominant=Course module viewed",,,,,
175,Sec-13,9,34,Window 12 of 17 in this session,2/18/2026 9:42,2/18/2026 9:43,30,3,"S1=10, S2=10, S3=10",0.33,Course module viewed,0.367,Assignment,0.733,"Course module viewed: 11, The status of the submission has been viewed.: 6, Submission created.: 3, A file has been uploaded.: 3, A submission has been submitted.: 3","Assignment: 22, File submissions: 6, System: 2","W13 [09:21]: 5 events, n_users=5, dominant=Course module viewed","W36 [09:44]: 31 events, n_users=5, dominant=Course module viewed",,,,,
176,Sec-13,9,38,Window 15 of 17 in this session,2/18/2026 9:46,2/18/2026 9:47,16,3,"S1=6, S2=6, S3=4",0.38,Course module viewed,0.438,Assignment,0.75,"Course module viewed: 7, The status of the submission has been viewed.: 3, Submission form viewed.: 2, Submission created.: 1, A file has been uploaded.: 1","Assignment: 12, File submissions: 2, System: 1, File: 1","W37 [09:45]: 28 events, n_users=4, dominant=Course module viewed","W40 [09:48]: 20 events, n_users=4, dominant=Course module viewed",,,,,
177,Sec-13,90,3,Window 1 of 7 in this session,4/13/2026 7:54,4/13/2026 7:55,5,3,"S1=2, S2=2, S3=1",0.4,Course module viewed,0.8,File,0.8,"Course module viewed: 4, Course viewed: 1","File: 4, System: 1",(none — first retained window of session),"W23 [08:14]: 9 events, n_users=3, dominant=Course module viewed",,,,,
178,Sec-13,94,45,Window 9 of 11 in this session,4/15/2026 8:24,4/15/2026 8:25,6,4,"S1=2, S2=2, S3=1, S4=1",0.33,Course module viewed,1,File,1,Course module viewed: 6,File: 6,"W33 [08:12]: 17 events, n_users=4, dominant=Course module viewed","W84 [09:03]: 11 events, n_users=3, dominant=Course module viewed",,,,,
179,Sec-13,94,33,Window 8 of 11 in this session,4/15/2026 8:12,4/15/2026 8:13,17,4,"S1=9, S2=5, S3=2, S4=1",0.53,Course module viewed,0.588,Assignment,0.588,"Course module viewed: 10, Submission form viewed.: 3, The status of the submission has been viewed.: 2, Grade user report viewed: 1, Course viewed: 1","Assignment: 10, File: 5, User report: 1, System: 1","W24 [08:03]: 6 events, n_users=3, dominant=Course module viewed","W45 [08:24]: 6 events, n_users=4, dominant=Course module viewed",,,,,
180,Sec-13,129,18,Window 3 of 9 in this session,4/20/2026 8:17,4/20/2026 8:18,5,3,"S1=2, S2=2, S3=1",0.4,Course module viewed,0.6,File,0.6,"Course module viewed: 3, Course viewed: 2","File: 3, System: 2","W6 [08:05]: 18 events, n_users=6, dominant=Course module viewed","W19 [08:18]: 13 events, n_users=3, dominant=Course module viewed",,,,,
181,Sec-13,129,19,Window 4 of 9 in this session,4/20/2026 8:18,4/20/2026 8:19,13,3,"S1=8, S2=4, S3=1",0.62,Course module viewed,0.615,Assignment,0.462,"Course module viewed: 8, The status of the submission has been viewed.: 3, Course viewed: 2","Assignment: 6, File: 5, System: 2","W18 [08:17]: 5 events, n_users=3, dominant=Course module viewed","W32 [08:31]: 6 events, n_users=3, dominant=Course viewed",,,,,
182,Sec-14,12,72,Window 9 of 10 in this session,2/23/2026 8:31,2/23/2026 8:32,68,13,"S1=10, S2=8, S3=7, S4=6, S5=6, S6=6, S7=6, S8=6, S9=6, S10=2, S11=2, S12=2, S13=1",0.15,Course module viewed,0.353,Assignment,0.706,"Course module viewed: 24, The status of the submission has been viewed.: 11, A submission has been submitted.: 9, Submission created.: 9, A file has been uploaded.: 9","Assignment: 48, File submissions: 18, System: 2","W71 [08:30]: 82 events, n_users=15, dominant=Course module viewed","W73 [08:32]: 46 events, n_users=20, dominant=Course module viewed",,,,,
183,Sec-14,76,118,Window 7 of 7 in this session,4/15/2026 9:50,4/15/2026 9:51,22,3,"S1=11, S2=10, S3=1",0.5,Course module viewed,0.364,Assignment,0.727,"Course module viewed: 8, The status of the submission has been viewed.: 4, Submission form viewed.: 2, Course viewed: 2, A submission has been submitted.: 2","Assignment: 16, File submissions: 4, System: 2","W27 [08:19]: 11 events, n_users=6, dominant=Course module viewed",(none — last retained window of session),,,,,
184,Sec-14,76,17,Window 3 of 7 in this session,4/15/2026 8:09,4/15/2026 8:10,8,5,"S1=2, S2=2, S3=2, S4=1, S5=1",0.25,Course module viewed,0.875,File,0.875,"Course module viewed: 7, Course viewed: 1","File: 7, System: 1","W15 [08:07]: 4 events, n_users=3, dominant=Course viewed","W25 [08:17]: 20 events, n_users=10, dominant=Course module viewed",,,,,
185,Sec-14,103,94,Window 14 of 16 in this session,4/20/2026 9:17,4/20/2026 9:18,21,3,"S1=10, S2=10, S3=1",0.48,Course module viewed,0.429,Assignment,0.762,"Course module viewed: 9, The status of the submission has been viewed.: 4, Submission form viewed.: 2, Submission created.: 2, A file has been uploaded.: 2","Assignment: 16, File submissions: 4, File: 1","W93 [09:16]: 35 events, n_users=4, dominant=Course module viewed","W95 [09:18]: 7 events, n_users=4, dominant=Course module viewed",,,,,
186,Sec-14,103,95,Window 15 of 16 in this session,4/20/2026 9:18,4/20/2026 9:19,7,4,"S1=3, S2=2, S3=1, S4=1",0.43,Course module viewed,0.714,File,0.571,"Course module viewed: 5, Course viewed: 1, The status of the submission has been viewed.: 1","File: 4, Assignment: 2, System: 1","W94 [09:17]: 21 events, n_users=3, dominant=Course module viewed","W104 [09:27]: 6 events, n_users=3, dominant=Course module viewed",,,,,
187,Sec-14,116,5,Window 1 of 2 in this session,4/22/2026 9:37,4/22/2026 9:38,8,3,"S1=4, S2=3, S3=1",0.5,Course module viewed,0.75,File,0.5,"Course module viewed: 6, The status of the submission has been viewed.: 1, Submission form viewed.: 1","File: 4, Assignment: 4",(none — first retained window of session),"W6 [09:38]: 18 events, n_users=3, dominant=Course module viewed",,,,,
188,Sec-14,103,39,Window 7 of 16 in this session,4/20/2026 8:22,4/20/2026 8:23,13,10,"S1=2, S2=2, S3=2, S4=1, S5=1, S6=1, S7=1, S8=1, S9=1, S10=1",0.15,Course module viewed,0.846,File,0.846,"Course module viewed: 11, Course viewed: 2","File: 11, System: 2","W38 [08:21]: 17 events, n_users=15, dominant=Course module viewed","W85 [09:08]: 18 events, n_users=3, dominant=Course module viewed",,,,,
189,Sec-15,8,55,Window 11 of 13 in this session,2/18/2026 10:52,2/18/2026 10:53,30,3,"S1=14, S2=10, S3=6",0.47,Course module viewed,0.4,Assignment,0.8,"Course module viewed: 12, The status of the submission has been viewed.: 5, Submission form viewed.: 4, A submission has been submitted.: 3, A file has been uploaded.: 3","Assignment: 24, File submissions: 6","W52 [10:49]: 21 events, n_users=3, dominant=Course module viewed","W56 [10:53]: 24 events, n_users=7, dominant=Course module viewed",,,,,
190,Sec-15,100,99,Window 15 of 15 in this session,4/15/2026 11:34,4/15/2026 11:35,29,4,"S1=11, S2=6, S3=6, S4=6",0.38,Course module viewed,0.345,Assignment,0.69,"Course module viewed: 10, The status of the submission has been viewed.: 5, A submission has been submitted.: 4, Submission created.: 4, A file has been uploaded.: 4","Assignment: 20, File submissions: 8, System: 1","W98 [11:33]: 18 events, n_users=4, dominant=Course module viewed",(none — last retained window of session),,,,,
191,Sec-15,100,20,Window 6 of 15 in this session,4/15/2026 10:15,4/15/2026 10:16,6,3,"S1=3, S2=2, S3=1",0.5,Course module viewed,0.833,File,0.833,"Course module viewed: 5, Course viewed: 1","File: 5, System: 1","W17 [10:12]: 7 events, n_users=4, dominant=Course module viewed","W25 [10:20]: 4 events, n_users=3, dominant=Course module viewed",,,,,
192,Sec-15,100,16,Window 4 of 15 in this session,4/15/2026 10:11,4/15/2026 10:12,13,6,"S1=5, S2=3, S3=2, S4=1, S5=1, S6=1",0.38,Course module viewed,0.769,File,0.692,"Course module viewed: 10, Course viewed: 2, The status of the submission has been viewed.: 1","File: 9, System: 2, Assignment: 2","W15 [10:10]: 13 events, n_users=9, dominant=Course module viewed","W17 [10:12]: 7 events, n_users=4, dominant=Course module viewed",,,,,
193,Sec-15,143,31,Window 14 of 16 in this session,4/22/2026 10:23,4/22/2026 10:24,54,21,"S1=8, S2=7, S3=3, S4=3, S5=3, S6=3, S7=2, S8=2, S9=2, S10=2, S11=2, S12=2, S13=2, S14=2, S15=2, S16=2, S17=2, S18=2, S19=1, S20=1, S21=1",0.15,Course module viewed,0.981,File,0.981,"Course module viewed: 53, Course viewed: 1","File: 53, System: 1","W29 [10:21]: 3 events, n_users=3, dominant=Course module viewed","W32 [10:24]: 8 events, n_users=5, dominant=Course module viewed",,,,,
